iter	Passed	Remaining
0	11	2354
1	14	1474
2	17	1175
3	20	1020
4	23	934
5	29	968
6	32	903
7	35	851
8	38	811
9	42	808
10	45	776
11	47	747
12	50	728
13	54	719
14	57	710
15	60	693
16	63	678
17	65	664
18	68	650
19	71	639
20	73	629
21	76	619
22	79	611
23	84	617
24	87	609
25	91	614
26	94	605
27	97	597
28	100	590
29	105	597
30	108	593
31	111	585
32	113	576
33	116	568
34	120	566
35	123	561
36	125	553
37	128	546
38	130	539
39	132	531
40	136	528
41	138	520
42	140	512
43	142	505
44	145	499
45	147	493
46	150	488
47	152	482
48	154	476
49	157	471
50	159	466
51	161	460
52	164	455
53	166	451
54	169	446
55	171	440
56	173	435
57	175	430
58	178	426
59	181	422
60	183	418
61	184	411
62	187	407
63	191	406
64	192	398
65	194	395
66	197	392
67	200	389
68	203	386
69	206	382
70	209	381
71	213	380
72	216	376
73	219	373
74	222	370
75	225	367
76	227	363
77	230	361
78	236	362
79	239	359
80	242	355
81	247	355
82	249	352
83	252	348
84	255	345
85	257	341
86	261	340
87	264	336
88	267	333
89	269	329
90	272	325
91	274	322
92	279	321
93	281	317
94	284	314
95	287	311
96	289	307
97	292	304
98	295	301
99	297	297
100	300	294
101	302	290
102	304	287
103	307	284
104	310	281
105	313	277
106	315	274
107	317	270
108	320	267
109	323	264
110	325	261
111	328	258
112	330	254
113	333	251
114	335	248
115	338	244
116	340	241
117	342	238
118	344	234
119	347	231
120	349	228
121	351	224
122	353	221
123	357	218
124	359	215
125	361	212
126	363	209
127	366	205
128	368	202
129	371	199
130	373	196
131	375	193
132	377	190
133	380	187
134	382	184
135	384	180
136	387	178
137	389	174
138	391	171
139	393	168
140	396	165
141	398	162
142	401	160
143	404	157
144	409	155
145	412	152
146	414	149
147	417	146
148	420	143
149	425	141
150	427	138
151	430	136
152	434	133
153	436	130
154	439	127
155	441	124
156	443	121
157	445	118
158	448	115
159	450	112
160	452	109
161	454	106
162	457	103
163	459	100
164	461	97
165	463	94
166	466	92
167	468	89
168	470	86
169	472	83
170	475	80
171	477	77
172	479	74
173	482	72
174	484	69
175	486	66
176	489	63
177	491	60
178	493	57
179	496	55
180	498	52
181	501	49
182	503	46
183	505	43
184	508	41
185	510	38
186	513	35
187	516	32
188	519	30
189	521	27
190	523	24
191	526	21
192	529	19
193	532	16
194	534	13
195	537	10
196	538	8
197	540	5
198	543	2
199	545	0
